,title,url,release_time,releaserUrl,duration
0,叫嚣魏锐！百胜老外专挑世界第二打，遭用脚扇脸羞辱KO，倒地崩溃,https://haokan.baidu.com/v?vid=11722787973371148020,2019-08-31 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,89
1,铁英华杀入世界前十，这三招神迹无人能破！最快KO仅一腿杀敌！,https://haokan.baidu.com/v?vid=14447160647513713461,2019-08-31 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,87
2,邓泽奇打得最惨一战，15秒头顶血口，都拜这个老外所赐 活该被KO,https://haokan.baidu.com/v?vid=9024780651697048534,2019-08-30 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,95
3,黑人犯规遭警告不满，贠奇抬膝踢飞几米远，外教看到这一幕想骂人,https://haokan.baidu.com/v?vid=8141049466527502707,2019-08-29 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,85
4,开场10秒被重击倒地，裁判冲一半发现不对劲，下一刻让解说惊呼,https://haokan.baidu.com/v?vid=12021498250502825564,2019-08-28 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,107
5,连克两人！新西兰最强王者家门口刚丢金腰带，另一冠军又丢人了！,https://haokan.baidu.com/v?vid=9533537146196005527,2019-08-28 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,113
6,中国仅邱建良一人！这种顶级躲闪与防守反击，全球都凤毛麟角,https://haokan.baidu.com/v?vid=5985810678234071431,2019-08-28 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,122
7,中国魔童毒蝎式进攻，老外被盯上遭死亡凝视，下一秒被当场毙命！,https://haokan.baidu.com/v?vid=11990847904864153697,2019-08-27 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,51
8,老虎屁股摸不得！泰拳手在铁英华面前扭臀挑衅，刚嘚瑟10秒就遭KO,https://haokan.baidu.com/v?vid=10987558423566421393,2019-08-27 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,119
9,胳膊被踢的皮开肉绽！大圣铁腿如金箍棒，格斗天才险毁于此役,https://haokan.baidu.com/v?vid=1828004227373175122,2019-08-27 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,135
10,泰拳手出绝招自信赢了，被霍家传人一拳打成独眼龙昏倒，打脸真响,https://haokan.baidu.com/v?vid=5003553108283333186,2019-08-27 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,107
11,担心白俄美少女被一拳毁容，教练忙扔白毛巾，裁判直接撞飞免出事,https://haokan.baidu.com/v?vid=1285147780568793772,2019-08-26 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,94
12,最恐怖KO！老外因不满判罚，遭世界第一怒变坦克神龙摆尾一腿躺尸,https://haokan.baidu.com/v?vid=5011490772132392909,2019-08-26 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,154
13,日本女孩赛前嘲笑动手，东北虎妞咽不下这口气，几十拳往死里揍！,https://haokan.baidu.com/v?vid=7674636714373847106,2019-08-24 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,99
14,欧洲冠军诡异走位重击铁英华软肋，激怒猛虎全场追击打脸，解气！,https://haokan.baidu.com/v?vid=6083585394223359519,2019-08-24 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,100
15,老外欺负中国人？下一秒躺尸巨大逆转，最意想不到KO现场嘘声一片,https://haokan.baidu.com/v?vid=1307393763443094813,2019-08-23 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,69
16,中国选手被惹火爆发，一拳打跪八人赛冠军还想补刀，裁判猛推救人,https://haokan.baidu.com/v?vid=12604799954315213723,2019-08-23 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,102
17,解气！嚣张泰拳手不把19岁中国小将放眼里，被KO那刻真活该,https://haokan.baidu.com/v?vid=4522812858735015032,2019-08-23 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,123
18,中国小级别最重的拳！一拳打碎护齿，再一拳KO老外直接栽倒,https://haokan.baidu.com/v?vid=11890367839761814824,2019-08-23 00-00-00,https://haokan.hao123.com/haokan/wiseauthor?app_id=1565285080839434,86
